epoch,train_loss,train_acc,val_loss,val_acc,epoch_time,memory_usage_mb
1,3.5505896513426536,0.18934766674810652,1.934422835464522,0.4801864801864802,120.03311944007874,907.10546875
2,2.2860758998357316,0.4348888345956511,1.272632199966963,0.6095571095571095,117.83805084228516,910.640625
3,1.8253490956872884,0.5296848277547032,1.054768496494749,0.6923076923076923,121.11950421333313,877.23046875
4,1.5438987396178723,0.598094307354019,0.8740535537844701,0.754079254079254,125.10116267204285,877.2421875
5,1.3782321956493788,0.6325433667236746,0.8445371890425387,0.7482517482517482,121.38921976089478,877.28515625
6,1.3281662077650942,0.6374297581236257,0.8113496436056081,0.7517482517482518,119.01439571380615,877.296875
7,1.210926632965045,0.6811629611531884,0.7599708143065929,0.7762237762237763,121.1471655368805,877.3203125
8,1.1391135690018859,0.6860493525531395,0.7845995916298695,0.752913752913753,121.32931113243103,877.5234375
9,1.0889526128827172,0.7021744441729783,0.7230383890679883,0.7750582750582751,122.5945794582367,876.5078125
10,1.0489118975880034,0.7124358661128757,0.7380697981460945,0.7785547785547785,117.64648962020874,876.12109375
11,1.0421282114884745,0.718299535792817,0.6699121418834549,0.7972027972027972,117.14499998092651,876.125
12,0.918274371716611,0.7459076472025409,0.8125816384343417,0.7505827505827506,116.42513990402222,876.32421875
13,0.9201706775732388,0.7422428536525776,0.7613725807639338,0.7727272727272727,116.49867939949036,876.32421875
14,0.9144530917711022,0.7542145125824579,0.6390899948532626,0.8111888111888111,116.56400346755981,876.30859375
15,0.89521655014375,0.7527485951624725,0.7263461024758768,0.7878787878787878,116.55982995033264,876.33984375
16,0.8576215463077238,0.7688736867823113,0.7719234805163386,0.7925407925407926,116.29220056533813,876.3359375
17,0.8585051393963263,0.7713168824822868,0.6912561337781596,0.796037296037296,120.62604880332947,876.3359375
18,0.7878965244093997,0.7840215001221598,0.7596827993540654,0.7948717948717948,116.01624870300293,876.33984375
19,0.7968458772550258,0.7808453457121916,0.8134377396335535,0.7727272727272727,115.71959471702576,876.3359375
20,0.7710975925380084,0.7867090153921329,0.7416483623036433,0.7878787878787878,115.80331683158875,471.0703125
21,0.6250448088001687,0.8350842902516492,0.6317408715945922,0.8193473193473193,115.48248505592346,471.234375
22,0.5906653890626051,0.8460786709015392,0.6108905309983551,0.8146853146853147,115.83676838874817,344.78125
23,0.5395228959021113,0.8612264842413877,0.6638658300277069,0.8111888111888111,115.4731810092926,353.5234375
24,0.5472417938339369,0.8480332274615197,0.6429227211128543,0.8205128205128205,115.57498097419739,344.86328125
25,0.5289974943688059,0.8619594429513804,0.6331791665120374,0.8251748251748252,116.43253469467163,297.68359375
26,0.5541242812363116,0.8524309797214757,0.6713030555346299,0.8286713286713286,115.63734602928162,297.6875
27,0.5320085379493694,0.8578060102614219,0.6712271642766997,0.8228438228438228,115.90854001045227,297.53125
28,0.49404810863778437,0.8690447104813096,0.673825454788276,0.8146853146853147,115.55795168876648,271.70703125
29,0.4802600433897512,0.8685560713413144,0.6108029464784562,0.8321678321678322,115.46364760398865,271.71875
30,0.4556436530832495,0.8812606889811874,0.6004793523530756,0.8356643356643356,115.46448636054993,271.7890625
31,0.43617840415977654,0.8873686782311263,0.577113495930695,0.8391608391608392,115.75224590301514,280.45703125
32,0.4589526713651694,0.8810163694111899,0.6061344361516141,0.8403263403263403,115.67507863044739,271.8359375
33,0.4566628315353813,0.8817493281211825,0.5830748163007357,0.8344988344988346,115.70706248283386,271.83984375
34,0.4142167512577727,0.8905448326410945,0.5908224915777331,0.8403263403263403,115.51158022880554,271.83984375
35,0.414250925103202,0.8910334717810897,0.6037149802897785,0.8461538461538461,115.73149180412292,271.69140625
36,0.36660806699811815,0.9032494502809675,0.5954180717324982,0.8543123543123543,118.16331171989441,223.703125
37,0.3848047328991381,0.9047153677009528,0.6050338088966242,0.8473193473193473,115.82097387313843,223.86328125
38,0.38138776198630225,0.901294893720987,0.5864938566323352,0.8519813519813519,115.80696249008179,223.87890625
39,0.35749385298215874,0.9025164915709748,0.5866094131561621,0.8519813519813519,115.81457948684692,223.93359375
40,0.36991068427381557,0.9034937698509651,0.5851798673305011,0.8414918414918415,115.53452253341675,223.93359375
41,0.35666795304664445,0.9071585634009284,0.5966458469583156,0.837995337995338,115.62292051315308,223.7578125
42,0.3399731518876835,0.9078915221109211,0.6004215734397519,0.8403263403263403,115.76315927505493,223.7890625
43,0.3235454070096257,0.9198631810408013,0.6160668793239138,0.8368298368298368,116.35872459411621,223.62890625
44,0.3396573794039543,0.9142438309308576,0.6102720772166952,0.8333333333333334,115.57367372512817,223.83984375
45,0.33893090704965206,0.9115563156608845,0.6003422855523292,0.8368298368298368,115.56132364273071,223.84765625
46,0.36085715442131355,0.9076472025409236,0.5795072185799331,0.8473193473193473,115.6100606918335,223.8515625
47,0.32419592413333176,0.9176643049108234,0.5923564759397061,0.8473193473193473,116.05064392089844,223.86328125
48,0.32778075212899904,0.9147324700708527,0.5887109582960424,0.8403263403263403,115.57622051239014,223.91796875
49,0.33335307325677244,0.9135108722208649,0.5825524918668814,0.8508158508158508,115.67875409126282,223.92578125
50,0.3089711624895073,0.9203518201807965,0.5821722457407906,0.8473193473193473,116.38825225830078,223.94921875
